SimpleFX;St. Vincent and Grenadines;CFD Broker;No;Yes;Online
Huobi;Seychelles;Exchange;No;Yes;Online
0x;Cayman Islands;Exchange Protocol;No;Unknown;Online
0xchange;Worldwide (Decentralized);Relayer;Yes;Unknown;Online
1Broker;United States of America;Exchange;No;Unknown;Discontinued
1BTCXE;Panama;Exchange;No;No;Offline
1inch.exchange;United States of America;Aggregation Platform;Yes;No;Online
365stream;Hong Kong;Exchange;No;No;Online
3Dax;Indonesia;Exchange;No;No;Online
3XBIT;Brazil;Exchange;No;Unknown;Online
50x.com;Country not disclosed;Exchange;No;Yes;Online
55 Global Markets;United States of America;Exchange;No;Unknown;Online
808exchange;Worldwide (Decentralized);Exchange;No;No;Online
9coin;Australia;Exchange;No;No;Online
A1 Exchange;Country not disclosed;Exchange;No;Yes;Online
Aave;Switzerland;Exchange Protocol;Yes;No;Online
AAX;Malta;Exchange;No;Unknown;Online
ABCC;Singapore;Exchange;No;Yes;Online
ABIT;Australia;Exchange;No;Yes;Online
Abra;Philippines;Exchange;No;No;Online
ACX;Australia;Exchange;No;Unknown;Online
Admiral Markets;United Kingdom;CFD Broker;No;Yes;Online
AENX;Hongkong;Exchange;No;Yes;Online
Aermos;Country not disclosed;Exchange;Yes;Unknown;Offline
AEX;Seychelles;Exchange;No;Unknown;Offline
AgoraDesk;British Virgin Islands;Derivatives Exchange;No;Unknown;Online
AidosMarket;Country not disclosed;Exchange;No;Unknown;Online
AIODEX;Country not disclosed;Exchange;No;Yes;Online
Airswap;United States of America;Coin Converter (Swaps);Yes;Unknown;Online
AjuBit;Seychelles;Exchange;No;No;Online
alfacash;Belize;Buy/Sell platform;No;Yes;Online
Alkimi Exchange;United Kingdom;Exchange;Yes;No;Online
Allbit;South Korea;Exchange;No;Unknown;Online
Allcoin;Canada;Exchange;No;Unknown;Online
Alluma;Singapore;Exchange;No;Unknown;Online
Alpha Finance Lab;Worldwide (Decentralized);Yield Aggregator;Yes;No;Online
Alt Exchanger;Hong Kong;Exchange;No;Unknown;Online
Altcoin Trader;South Africa;Exchange;No;Unknown;Online
Altcoin.io;United States of America;Exchange;Yes;Unknown;Online
AltDex;United States of America;Exchange;No;Unknown;Offline
Alterdice;Singapore;Exchange;No;No;Online
Altex.Exchange;Germany;Exchange;No;No;Discontinued
Altilly;Netherlands;Exchange;No;Yes;Online
altmarkets;United Kingdom;Exchange;No;No;Online
ALTTEX;United States of America;Exchange;Yes;Unknown;Online
Amadeus Relay;Brazil;Relayer;No;Unknown;Offline
AMFEIX;Indonesia;Investment Fund;No;Yes;Online
Amplify Exchange;Ireland;Exchange;No;No;Online
Amsterdex;Netherlands;Exchange;No;Unknown;Online
Amun;Switzerland;Exchange-traded Product;No;No;Online
Anchor Protocol;Worldwide (Decentralized);Lending Protocol;Yes;No;Online
Angel 0x;Worldwide (Decentralized);Exchange;Yes;Unknown;Offline
Antares Exchange;United States of America;Exchange;No;No;Online
ANXPro;Hong Kong;Exchange;No;Unknown;Online
Anycoindirect.eu;Netherlands;Buy/Sell platform;No;Yes;Online
Aphelion;Saint Kitts and Nevis;Exchange;Yes;Unknown;Online
Arbidex;United Kingdom;Exchange;No;Unknown;Online
Archax;United Kingdom;Exchange;No;No;Online
Art Blocks;United States of America;NFT Marketplace;Yes;No;Online
Artis Turba;South Africa;Exchange;No;No;Online
as.exchange;Hongkong;Derivatives Exchange;No;In development;Online
Ascendex;Singapore;Exchange;No;Yes;Online
Async Art;United States of America;Exchange;Yes;No;Online
ATFX;United Kingdom;CFD Broker;No;Unknown;Online
Atlant;British Virgin Islands;Exchange;No;Unknown;Online
Atomars;Country not disclosed;Exchange;No;No;Online
Atomic Assets;United States of America;NFT Marketplace;No;No;Online
ATUM;United States of America;Exchange;Yes;Unknown;Online
Aurora DAO;Panama;Exchange;Yes;No;Online
Autradex Systems;Australia;Exchange;No;In development;Online
AVA Trade;Ireland;CFD Broker;No;Yes;Online
Avatrade;Ireland;CFD Broker;No;Unknown;Online
AXNET;Estonia;Exchange;No;No;Online
B&C Exchange;Worldwide (Decentralized);Exchange;Yes;No;Offline
B2BX;Russian Federation;Exchange;No;Yes;Online
BAE;Worldwide (Decentralized);Exchange;Yes;No;Online
Bakkt;United States of America;Futures Contract;No;No;Online
Bamboo Relay;Country not disclosed;Exchange;Yes;Unknown;Online
Bancor Network;Switzerland;Exchange Protocol;No;Unknown;Online
BankCEX;Country not disclosed;Exchange;No;Unknown;Online
Bankera;British Virgin Islands;Exchange;No;Yes;Online
Barginex;Seychelles;Exchange;No;Yes;Online
BarterDEX;Worldwide (Decentralized);Exchange;Yes;No;Online
BaseFEX;Seychelles;Derivatives Exchange;No;Unknown;Online
Basichange;Venezuela;Exchange;No;No;Online
Bastion;Country not disclosed;Exchange;No;Unknown;Online
BBOD;Seychelles;CFD Broker;No;Unknown;Online
BBX;Country not disclosed;Exchange;No;Unknown;Online
BC BITCOIN;United Kingdom;Buy/Sell platform;No;No;Online
BCEX;Hong Kong;Exchange;No;Unknown;Online
Bcnex;Belize;Exchange;No;No;Online
BCoin.sg;Singapore;Exchange;No;Unknown;Offline
BDVE;Venezuela;Exchange;No;No;Online
Beaxy;Saint Kitts and Nevis;Exchange;No;Yes;Online
Behind;South Korea;Exchange;No;Unknown;Offline
Beldex;Malaysia;Exchange;No;Unknown;Online
Bequant;Malta;Exchange;No;No;Online
Berivatives;France;Derivatives Exchange;No;No;Online
Best Rate;United States of America;Coin Converter (Swaps);No;Yes;Online
Betconix;Russian Federation;Buy/Sell platform;No;Yes;Online
BEXPLUS;Country not disclosed;CFD Broker;No;Unknown;Online
Bgogo;Cayman Islands;Exchange;No;Unknown;Online
Bibox;Estonia;Exchange;No;Yes;Online
Bictory;British Virgin Islands;Exchange;No;In development;Online
Biditex;Malta;Exchange;No;No;Online
Bigmarkets Limited;Unknown;Exchange;No;Unknown;Offline
BigoMex;Singapore;Exchange;No;Yes;Online
BigONE;Country not disclosed;Exchange;No;Unknown;Online
BihuEx;China;Exchange;No;No;Online
Bilaxy;Seychelles;Exchange;No;No;Online
Binance DEX;Worldwide (Decentralized);Exchange;Yes;No;Online
Binance Futures;Malta;Futures Exchange;No;Unknown;Online
Binance Jersey;Jersey;Exchange;No;Yes;Discontinued
Binance Jex;Singapore;Derivatives Exchange;No;No;Online
Binance US;United States of America;Exchange;No;Yes;Online
Binance;Malta;Exchange;No;Yes;Online
Binfinity;Australia;Exchange;No;No;Online
Bingbon;Singapore;Futures Exchange;No;Yes;Online
Binkd;United States of America;Exchange;No;Unknown;Offline
Binordex;Estonia;Exchange;No;No;Online
BIP platform;United Kingdom;Lending Platform;No;Yes;Online
Birake;Estonia;Exchange;No;No;Online
BISON App;Germany;Buy/Sell platform;No;No;Online
Bison;United States of America;Buy/Sell Platform;;No;Online
Bisq;Worldwide (Decentralized);Exchange;Yes;No;Online
Biswap;Worldwide (Decentralized);Coin Converter (Swaps);Yes;Yes;Online
Bit-Z;Hong Kong;Exchange;No;Unknown;Online
BIT.COM;Seychelles;Derivatives Exchange;No;Yes;Online
Bit2Bit;India;Exchange;No;In development;Online
Bit2C;Israel;Exchange;No;Unknown;Online
Bit2Me OTC;Spain;Buy/Sell platform;No;Yes;Online
Bit2Me;Spain;Buy/Sell platform;No;Yes;Online
bit4coin;Netherlands;Buy/Sell platform;No;No;Online
Bit4Sale;Estonia;Buy/Sell platform;No;Yes;Online
BitAsset;Hong Kong;Exchange;No;No;Online
Bitbank;Japan;Exchange;No;Unknown;Online
BitBay;Malta;Exchange;No;Unknown;Online
BitBegin;Nigeria;Exchange;No;Unknown;Online
Bitbns;India;Exchange;No;Unknown;Online
BITBOX;Japan;Exchange;No;Unknown;Online
BITBOX;Singapore;Exchange;No;Yes;Online
bitbuy;Canada;Buy/Sell Platform;;Yes;Online
Bitclude;Poland;Exchange;;Yes;Online
Bitcoin Fund (3iQ);Canada;Exchange-traded Product;No;No;Online
Bitcoin Meester;Netherlands;Buy/Sell platform;No;Yes;Online
Bitcoin of America;United States of America;Exchange;No;No;Online
Bitcoin.com.au;Australia;Buy/Sell Platform;No;No;Online
Bitcoin.de;Germany;Exchange;No;Unknown;Online
Bitcoins Norway;Norway;Buy/Sell platform;No;Unknown;Online
Bitcointopaypalexchange;United States of America;Buy/Sell platform;No;No;Offline
BitcoinToYou;Brazil;Exchange;No;No;Online
BitcoinTrade;Brazil;Exchange;No;No;Online
Bitcoiva;India;Exchange;No;Yes;Online
BitCoke;Cayman islands;Derivatives Exchange;No;Unknown;Online
BitConx;United Kingdom;Exchange;No;Unknown;Online
Bitcratic;India;Exchange;Yes;No;Online
Bitebtc;Singapore;Exchange;No;Unknown;Discontinued
Biteeu;Estonia;Exchange;No;No;Online
Bitex.la;Netherlands;Exchange;No;Unknown;Online
BITEXBOOK;Saint Vincent and Grenadines;Exchange;No;Yes;Online
Bitexlive;Turkey;Exchange;No;Unknown;Online
BitFex;Hong Kong;Exchange;No;No;Online
Bitfineon;Switzerland;Exchange;No;Unknown;Offline
Bitfinex;British Virgin Islands;Exchange;No;Unknown;Online
BitFlip;Thailand;Exchange;No;Yes;Online
bitFlyer;Japan;Exchange;No;Unknown;Online
BitForex;Seychelles;Exchange;No;No;Online
BitGlobal;Seychelles;Exchange;No;Yes;Online
BitHash;Singapore;Exchange;No;Yes;Online
Bithesap;Turkey;Exchange;No;Unknown;Online
BITHOLIC;Singapore;Exchange;No;Unknown;Offline
Bithoven;Unknown;Exchange;No;No;Online
Bithumb;South Korea;Exchange;No;Unknown;Online
Bitibu;Country not disclosed;Buy/Sell platform;No;Unknown;Online
Bitinka;Hong Kong;Exchange;No;Unknown;Online
BitKassa;Netherlands;Buy/Sell platform;No;No;Online
BITKER;Singapore;Exchange;No;Unknown;Online
BitKonan;Croatia;Exchange;No;Unknown;Offline
BitKop;China;Exchange;No;Unknown;Online
Bitkub;Thailand;Exchange;No;Unknown;Online
Bitladon;Thailand;Buy/Sell platform;No;No;Online
Bitlevex;Estonia;Buy/Sell Platform;No;No;Online
Bitlish;United Kingdom;Exchange;No;Unknown;Online
Bitlo;Turkey;Buy/Sell platform;No;Yes;Online
BitMarket;Seychelles;Exchange;No;Unknown;Discontinued
BitMart;Cayman Islands;Exchange;No;Unknown;Online
Bitmaszyna;Belgium;Exchange;No;Unknown;Online
Bitmax;Singapore;Exchange;No;Yes;Online
BitMesh;Seychelles;Exchange;No;Unknown;Online
BitMEX;Seychelles;Exchange;No;Unknown;Online
Bitmxittz;Unknown;Exchange;No;Unknown;Offline
Bitmymoney;Netherlands;Exchange;No;Yes;Online
Bitnaru;South Korea;Exchange;No;Unknown;Online
Bitni;Singapore;Coin Converter (Swaps);No;Yes;Online
Bitnominal;United States of America;Derivatives Exchange;No;No;Online
Bitnordex;Estonia;Exchange;No;Unknown;Online
Bitnuk;Switzerland;Buy/Sell platform;No;Unknown;Online
Bitocto Exchange;Indonesia;Exchange;No;Unknown;Online
BitOffer;Singapore;Exchange;No;Unknown;Online
Bitonic;Netherlands;Exchange;No;Yes;Online
Bitospher Exchange;Turkey;Exchange;No;No;Online
Bitox Exchange;Country not disclosed;Exchange;Yes;Unknown;Online
Bitpaction;Unknown;Exchange;No;Unknown;Offline
Bitpanda;Austria;Exchange;No;Unknown;Online
BitParax;Country not disclosed;Exchange;No;No;Online
BitPoint;Japan;Buy/Sell platform;No;Unknown;Online
Bitprime;New Zealand;Buy/Sell platform;No;No;Online
Bitqist;Netherlands;Exchange;No;Yes;Online
Bitrue;Singapore;Exchange;No;Unknown;Online
Bitrush;Netherlands;Buy/Sell platform;No;Yes;Online
Bits Blockchain;Brazil;Exchange;No;Unknown;Online
BitSails;Worldwide (Decentralized);Exchange;No;In development;Online
Bitsane;Ireland;Exchange;No;Unknown;Offline
Bitscoin;South Korea;Exchange;No;Unknown;Offline
Bitsfox;Russian Federation;Exchange;No;Yes;Online
BitShares;Worldwide (Decentralized);Exchange;Yes;Yes;Online
Bitso;Mexico;Buy/Sell platform;No;Unknown;Online
Bitsonic;South Korea;Exchange;No;Yes;Online
Bitspay;Estonia;Exchange;No;No;Online
Bitstamp;United Kingdom;Exchange;No;Unknown;Online
Bitsten;Indonesia;Exchange;No;Unknown;Online
BITStorage;Seychelles;Exchange;No;Unknown;Online
Bitto;United Kingdom;Exchange;Yes;Unknown;Online
Bittr;Netherlands;Buy/Sell platform;No;No;Discontinued
Bittrex International;Liechtenstein;Exchange;No;No;Online
Bittrex;United States of America;Exchange;No;Unknown;Online
Bittylicious;United Kingdom;Buy/Sell platform;No;No;Online
BitUBU;Turkey;Exchange;No;Yes;Online
BITUNIVEX;Australia;Exchange;No;Yes;Online
Bitvavo;Netherlands;Exchange;No;Yes;Online
Bitwise 10 Crypto Index Fund;United States of America;Index Fund;No;No;Online
Bity;Switzerland;Buy/Sell platform;No;Yes;Online
BitYard;Singapore;Futures Exchange;No;Yes;Online
Bitzeb;Netherlands;Buy/Sell platform;No;No;Online
BJS;United Kingdom;Exchange;No;Unknown;Online
BL3P;Netherlands;Buy/Sell platform;No;Unknown;Online
Black moon;Malta;Exchange;No;No;Online
Blackhalo;Country not disclosed;Exchange;Yes;Unknown;Online
BLADE;Seychelles;Derivatives Exchange;No;No;Online
Bleutrade;Brazil;Exchange;No;Unknown;Online
BLOCK DX;Worldwide (Decentralized);Exchange;Yes;Unknown;Online
Blockchain.io;France;Exchange;No;Unknown;Online
BlockFi;United States of America;Coin Converter (Swaps);No;Yes;Online
BlockFills;United States of America;Exchange;No;No;Online
Blocknet;Worldwide (Decentralized);Exchange;Yes;Unknown;Online
Blockonix;Malta;Exchange;Yes;No;Online
Blockparty;United States of America;NFT Marketplace;Yes;No;Online
Blockport;Netherlands;Exchange;No;Yes;Online
Blocktrade;Liechtenstein;Exchange;No;Unknown;Online
BlockTrades;Cayman Islands;Coin Converter (Swaps);No;Unknown;Online
Blocto;Taiwan;Buy/Sell platform;No;No;Online
BLOX;Netherlands;Buy/Sell platform;No;Yes;Online
Bluebelt;Japan;Buy/Sell platform;No;Unknown;Online
BoaExchange;Costa Rica;Exchange;No;Yes;Online
Bololex;Russia;Exchange;No;Yes;Online
Bondex;Netherlands;Exchange;Yes;No;Online
Bounce;Worldwide (Decentralized);Auction Protocol;Yes;No;Online
BQ;Hongkong;Exchange;No;Yes;Online
Brabex;Brazil;Exchange;No;Unknown;Online
Braveno;United Kingdom;Exchange;No;Unknown;Online
Braziliex;Brazil;Exchange;No;Unknown;Online
BRECOINS;Brazil;Exchange;No;Unknown;Online
BTC-Alpha;United Kingdom;Exchange;No;Yes;Online
BTC Direct;Netherlands;Buy/Sell platform;No;Yes;Online
BTC Markets;Australia;Exchange;No;Unknown;Online
BTC Trade UA;Ukraine;Exchange;No;Unknown;Online
BTC24;Saint Vincent and Grenadines;Exchange;No;Unknown;Offline
BTCBOX;Japan;Exchange;No;Unknown;Online
BTCC;United Kingdom;Exchange;No;Unknown;Online
BTCChina;China;Exchange;No;Unknown;Online
BTCExchange;Philippines;Exchange;No;Unknown;Offline
BTCMEX;Hong Kong;Derivatives Exchange;No;Yes;Online
BTCPOP;Marshall Islands;Exchange;Yes;Yes;Online
BTCsquare;Worldwide (Decentralized);Exchange;No;No;Online
BtcTrade.im;Hong Kong;Exchange;No;Unknown;Offline
BTCTurk;Turkey;Exchange;No;No;Online
BTCX;United States of America;Exchange;No;Unknown;Offline
BTEX;China;Exchange;No;No;Online
BTSE;British Virgin Islands;Exchange;No;Yes;Online
Buda;Chile;Exchange;No;Unknown;Online
Buenbit;Argentina;Exchange;No;Unknown;Online
Bux Crypto;Netherlands;Buy/Sell platform;No;Unknown;Online
Bux X;United Kingdom;CFD Broker;No;Unknown;Online
Buycoin.cash;Estonia;Buy/Sell platform;No;Yes;Online
BuyUcoin;India;Buy/Sell platform;No;Yes;Online
BuyUCoin;India;Buy/Sell platform;No;Yes;Online
BW;Country not disclosed;Exchange;No;Unknown;Online
BX Thailand;Thailand;Exchange;No;Unknown;Online
Bybit;Singapore;Exchange;No;Yes;Online
Bytabit;United States of America;Buy/Sell platform;No;Unknown;Online
bZx;United States of America;Exchange;Yes;Unknown;Online
C-CEX;Country not disclosed;Exchange;No;Unknown;Online
C-Patex;Argentina;Exchange;No;Unknown;Online
C2CX;China;Exchange;No;Unknown;Online
Capital;United Kingdom;CFD Broker;No;Yes;Online
Cash App;United States of America;Exchange;No;No;Online
Cash2Coin;Thailand;Exchange;No;No;Offline
CashFinex;Estonia;Exchange;No;Unknown;Online
Cashierest;South Korea;Exchange;No;Yes;Online
CashPayz Exchange;India;Exchange;No;Unknown;Offline
Caspian;United States of America;Exchange;No;Unknown;Online
CatalX;Canada;Exchange;No;No;Online
Catex;Malta;Exchange;No;No;Online
Cats.Exchange;Worldwide (Decentralized);Coin Converter (Swaps);Yes;No;Online
Ccore;Armenia;Exchange;No;Unknown;Online
CEX.IO;Cyprus;Exchange;No;Yes;Online
CEX;China;Exchange;No;Unknown;Online
cfinex;Country not disclosed;Exchange;No;Unknown;Offline
Chaince;Hong Kong;Exchange;No;No;Offline
Chaincreator;Estonia;Exchange;No;No;Online
ChainEx;South Africa;Exchange;No;Yes;Online
ChainRift;United States of America;Exchange;No;No;Discontinued
changeangel;Seychelles;Exchange;No;No;Online
Changehero;Hong Kong;Coin Converter (Swaps);No;Yes;Online
Changelly;Hong Kong;Coin Converter (Swaps);No;Yes;Online
ChangeNOW;Seychelles;Coin Converter (Swaps);No;Yes;Online
ChaoEX;Hong Kong;Exchange;No;Unknown;Online
CHBTC;China;Exchange;No;Unknown;Online
ChileBit;Chile;Buy/Sell platform;No;Unknown;Online
CICI;Mauritius;Exchange;No;Unknown;Online
Circle Trade;United Kingdom;Exchange;No;Unknown;Online
CITEX;South Korea;Exchange;No;Unknown;Online
City Index;United Kingdom;CFD Broker;No;Yes;Online
CME;United States of America;Futures Contract;No;No;Online
Cobinhood;Cayman Islands;Exchange;No;Unknown;Online
Codex;Estonia;Exchange;No;Yes;Offline
Coinall;Malta;Exchange;No;Unknown;Online
Coinals;United States of America;Exchange;No;No;Online
Coinapult;Panama;Exchange;No;No;Online
Coinbase Pro;United States of America;Exchange;No;Unknown;Online
Coinbase;United States of America;Buy/Sell platform;No;Unknown;Online
Coinbe;Poland;Exchange;No;Unknown;Online
CoinBene;Vanuatu;Exchange;No;Unknown;Online
Coinbit;South Korea;Exchange;No;Unknown;Online
Coinchangex;Worldwide (Decentralized);Exchange;Yes;Unknown;Online
Coincheck;Indonesia;Exchange;No;Unknown;Online
CoinCorner;Isle of Man;Buy/Sell platform;No;Yes;Online
CoinDCX;India;Exchange;No;Yes;Online
Coindeal;Malta;Exchange;No;Yes;Online
Coindecx;India;Exchange;No;Yes;Online
Coindelta;India;Exchange;No;Unknown;Online
Coindirect;Isle of Man;Buy/Sell platform;No;Unknown;Online
Coineal;South Korea;Exchange;No;Unknown;Online
Coinected;Seychelles;Buy/Sell platform;No;No;Online
CoinEgg;China;Exchange;No;Unknown;Online
CoinEx;China;Exchange;No;Yes;Online
CoinExchange;India;Exchange;No;Yes;Offline
Coinexmarket;United Kingdom;Exchange;No;No;Online
CoinFalcon;United Kingdom;Exchange;No;Yes;Online
Coinffeine;Spain;Exchange;Yes;Unknown;Online
Coinfield;Canada;Exchange;No;Unknown;Online
Coinflex;Seychelles;Futures Exchange;No;Yes;Online
Coinfloor;United Kingdom;Exchange;No;Unknown;Online
coinflux;Romania;Buy/Sell Platform;No;No;Online
Coingi;Country not disclosed;Exchange;No;Yes;Online
Coinhako;Singapore;Exchange;No;Yes;Online
Coinhouse;Unknown;Exchange;No;Unknown;Offline
Coinhub;Singapore;Exchange;No;Unknown;Online
CoinJar Exchange;United Kingdom;Exchange;No;Unknown;Online
CoinJar;Australia;Exchange;No;No;Online
Coinlim;Unknown;Exchange;No;Unknown;Offline
Coinlion;United States of America;Exchange;No;Yes;Online
CoinList;United States of America;Exchange;No;No;Online
CoinLoan;Estonia;Lending Platform;No;Unknown;Online
CoinLock;Cayman Islands;Exchange;No;Yes;Online
Coinmama;Slovakia;Buy/Sell platform;No;Yes;Online
CoinMargin;Malaysia;Exchange;No;Yes;Online
CoinMate;Czech Republic;Buy/Sell platform;No;Unknown;Online
Coinmax;Australia;Exchange;No;Yes;Online
Coinmerce;Netherlands;Buy/Sell platform;No;No;Online
CoinMetro;Estonia;Exchange;;Yes;Online
Coinmex;China;Exchange;No;Yes;Offline
Coinmotion;Finland;Exchange;No;Yes;Online
Coinnest;South Korea;Exchange;No;Unknown;Online
Coinone;South Korea;Exchange;No;Unknown;Online
CoinPlace;Unknown;Exchange;No;Unknown;Offline
CoinPlaza;Italy;Exchange;No;Yes;Online
Coinpulse;Panama;Exchange;No;Unknown;Online
Coinquista;Poland;Exchange;No;No;Online
CoinQX;United States of America;Exchange;No;No;Online
Coinrail;South Korea;Exchange;No;Unknown;Online
Coinrate;United Kingdom;Exchange;No;Unknown;Online
Coinroom;Poland;Buy/Sell platform;No;Unknown;Offline
Coins.ph;Philippines;Buy/Sell platform;No;No;Online
CoinsBank;Estonia;Exchange;No;Unknown;Online
Coinsbit;Estonia;Exchange;No;Yes;Online
Coinsecure;India;Exchange;No;Unknown;Offline
Coinsoda;Country not disclosed;Exchange;No;Unknown;Offline
CoinSpark;Cayman islands;Exchange;No;No;Offline
CoinSpot;Australia;Buy/Sell platform;No;Unknown;Online
Coinsquare;Canada;Exchange;No;Unknown;Online
Coinstash;Australia;Buy/Sell platform;No;Yes;Online
Coinsuper;Hong Kong;Exchange;No;Unknown;Online
Coinswitch;India;Coin Converter (Swaps);No;Yes;Online
CoinTiger;China;Exchange;No;Unknown;Online
Cointree;Australia;Buy/Sell platform;No;No;Online
Coinut;Singapore;Exchange;No;Unknown;Online
COINW;China;Exchange;No;Yes;Online
Coinzest;South Korea;Exchange;No;Unknown;Online
Collectables;Worldwide (Decentralized);Exchange;Yes;No;Online
COMIT;Australia;Exchange Protocol;Yes;Unknown;Online
Compound;United States of America;Lending Protocol;Yes;No;Online
CoolCoin;Australia;Exchange;No;Unknown;Online
Coopex;Country not disclosed;Exchange;Yes;Unknown;Online
Coss Decentralized Exchange;Slovakia;Exchange;Yes;No;Online
COSS;Singapore;Exchange;No;Yes;Online
Counterparty DEX;Worldwide (Decentralized);Exchange;Yes;Unknown;Online
