16;Poloniex;319659;47304562.4006006
22;Bittrex;219784;70372678.54795188
24;Kraken;2046438;531694452.77683854
32;Bleutrade;3472;null
34;Bittylicious;3436;37545.18797509
36;CEX.IO;334253;18789744.17301719
37;Bitfinex;888183;448529820.1413772
42;HitBTC;296711;2723426299.5654435
50;EXMO;621565;58537681.63412973
121;SouthXchange;29756;80713.66003332
125;Bitso;608151;8594019.19612136
127;BTCBOX;7513;46178455.14014495
137;CoinCorner;9396;149920.70441965
139;bitFlyer;919929;89980466.52161454
142;ISX;null;476.27068916
151;Gemini;615946;74964393.19849809
154;Dex-Trade;125954;137084938.89146963
155;Exrates;5776;25699454.07631015
157;BitMEX;928938;null
232;Coingi;540;3655.94515627
234;RippleFox;897;29966.26536232
235;Gatehub;23797;null
242;COSS;1898;1076138.14871528
243;BtcTurk | Pro;537552;125358832.7658183
245;STEX;18848;21184452.1579673
246;Waves Exchange;195367;3908218.35727097
248;Koinim;7312;31002.58691657
249;Stellarterm;39041;2462079.2737445
250;Buda;151546;1018527.68169228
319;AEX;748064;527602063.267987
320;CoinFalcon;6353;2946.47441516
321;Coinut;19053;26022.24661709
325;Satang Pro;108433;1126632.17121568
326;ZB.COM;97230;492867932.17397815
330;BigONE;546768;564267605.1415011
333;LBank;1117155;1025995703.8918641
335;GOPAX;72951;4414871.72608454
339;Bibox;166628;377417730.50006133
343;CoinBene;7562;null
391;CoinTiger;68909;153727163.20572606
392;B2BX;915;21237949.02683414
398;DragonEX;10166;261341218.4112204
400;Hotbit;1914617;194661428.16563848
401;Switcheo Network;123;0
403;BitForex;484749;241291065.97695485
404;Kyber Network;18973;4778.95395318
405;Coindeal;7134;1248097.31663881
406;BitMart;810385;755522771.3596736
407;DigiFinex;2820977;1363895355.147883
446;TOKOK;3238;277075263.2058363
452;Coineal;9265;48713741.94825463
453;AscendEX (Bitmax);804983;111790051.2610695
456;PoloniDEX;11448;0
459;BW.com;25450;39888072.20170198
460;Coinsbit;208143;168313915.77797112
463;Huobi Korea;1212;null
468;OceanEx;12032;90441051.31749366
477;ProBit Global;548730;182933836.53290033
478;BHEX (BlueHelix Exchange);401;null
479;Dcoin;7322;581797183.0580705
480;Cat.Ex;26402;78274821.89247449
481;Alterdice;6365;27941198.23586297
482;BKEX;446241;632499611.5455424
483;Hanbitco;1375;87323.58439034
498;Polyx;81804;20533922.62527988
500;Tokenize Xchange;56964;31373906.55737392
501;WhiteBIT;3315686;589815347.5766753
503;Birake Network;2376;1311539.22749506
504;ZG.com;41491;null
505;CBX;346;412475814.0674858
506;ChainX;494;null
513;Bitget;634366;170679853.59929636
514;Finexbox;47893;190764832.249938
516;dYdX;77767;null
517;CoinW;233272;884807823.5904852
518;Triv Pro;3668;null
520;Bitvavo;656135;122789315.67516167
521;Bybit;3603021;240261314.25117955
522;Deribit;129709;null
523;Beaxy;1905;239.91115372
524;FTX;5142472;1248591038.2505732
525;XT.COM;736239;1054974025.7388859
531;BTC-exchange;998;1673.49583336
533;BITEXBOOK;10280;10168.22096556
535;ExMarkets;91859;185476386.91916278
537;Virtuse Exchange;534;21322105.99970294
538;CoinFLEX;30555;5221796297.0750065
544;MEXC;1349641;550788974.5060468
549;CITEX;2129;null
553;LOEx;216;null
554;Globitex;598;135636.16079836
561;PayBito;3414;193077508.31181446
562;Txbit;24795;587688.22243807
564;SecondBTC;120;353661.58084243
568;CROSS exchange;28943;0
574;WBF Exchange;894;217557.57380259
577;Serenity;264;0
583;BaseFEX;629;null
585;BITStorage;680;14675938.34714894
587;IndoEx;93336;2298680785.8768396
594;Bitci;101735;244850.1365701
597;Bitpanda Pro;388288;3178954.73563636
599;BankCEX;7453;22124422.4600277
601;Bithumb Singapore;239;null
603;50x;7105;481501.43604284
613;Bitvast;204;35170184.70353974
622;NovaDAX;136128;2143023.90790538
625;qTrade;9470;18732.22694061
629;Ecxx;326;654387017.145611
630;Binance.US;875453;219121769.10677058
633;Mandala Exchange;37572;6106599651.682826
636;Bitsten;610;722381.26987902
638;Paritex;568;135962521.7423739
641;EXIR;11117;860795.38137684
643;Coinzo;6666;3900.82302497
644;FOBLGATE;2040;55515.84934191
645;BitUBU;767;4164136.14104668
647;Artis Turba;223;30311.53708043
653;BITEXLIVE;1388;15388964.62115214
655;TimeX;12791;44974447.61239339
656;OMGFIN;9265;51403905.0434283
657;CoinJar;21114;7831946.97478279
658;BTSE;8671;144532566.93541035
665;BitClude;7508;23355.65106535
674;BQT;268;967096.34870847
687;TronTrade;7028;17710.49415926
699;Currency.com;606068;1090325314.41269
702;Newdex;11218;40505.93365479
705;Delta Exchange;90557;131976.7799056
710;Tokocrypto;322313;33601261.64871765
717;BitoPro;38497;5385653.89515088
723;Rekeningku.com;67250;20798562.06892055
731;Emirex;3438;21176209.99090645
733;VCC Exchange;1728;62123227.42378483
738;Dove Wallet;36998;71021.72833582
741;ACE;12554;5903067.15764611
756;ViteX;4074;221785.51423519
766;ATAIX;5763;100525284.02573726
790;Pionex;565570;1266258699.4433675
792;Bitbuy;68002;3054406.35460738
802;digitalexchange.id;5031;277796.44880973
806;Xcalibra;212;1927.22484191
818;Decoin;30355;100829133.3824731
834;Nominex;111841;10759047.1896297
835;Prizmbit;3742;null
844;NiceHash;6639092;913089.6045462
853;AAX;600038;820367826.3096676
856;Tokenlon;3451;11569857.55032212
857;FMFW.io;26222;1956608254.2345679
863;StakeCube;338482;81799.75793373
865;TOKENCAN;730;1939134789.6241548
868;MAX Exchange;193621;12592366.12723286
889;Crypterum;145;null
890;Bitay;26066;116253013.93411191
904;eToroX;16273687;33978340.16434764
908;VALR;32027;3425972.20815107
922;StormGain;295845;83589812.6410194
925;Namebase;57246;9637.68269329
937;Biconomy Exchange;12426;381842577.30379456
943;Hotcoin Global;1532;1745850866.1895943
949;CoinDCX;502141;39890466.54181644
955;Phemex;444452;179651459.8100531
958;FarhadMarket;839;2485237.66740035
966;Resfinex;313;104549137.01242179
983;Loopring Exchange;68226;2695157.65495134
987;Bitribe;490;null
988;Huobi Japan;44341;1699146.12967895
997;Chiliz;57793;7353626.01389999
1006;Jubi;12187;369041119.4186857
1009;Giottus;114679;70436537.48915642
1011;Coinlist Pro;112481;6889381.0816147
1012;Felixo;4862;4681424.1313545
1019;BitTurk;6816;1339612.4345606
1029;CoinZoom;11884;2899576.34116281
1037;Flybit;5590;2852468.61970663
1044;Compound;75398;85827901.21911176
1049;GokuMarket;118992;232736190.09137312
1052;1inch Exchange;83198;54104.24097376
1057;DeversiFi;18160;3796287.33769486
1062;Balancer;1810;2704616.48630298
1063;Curve Finance;177901;70375153.08292027
1064;BingX;347419;624542032.7056452
1066;CoinCasso;8354;249865.87764547
1069;Uniswap (V2);699623;183867643.04621467
1070;Nash;1340;1874.97323349
1071;APROBIT;1835;111031.78259583
1075;CrossTower;5396;787293.88347724
1084;Kwenta;9052;0
1085;Zipmex;275145;23243698.97678466
1091;Narkasa;497;1281926.86234766
1100;Ripio;15126;24400.49945826
1101;Polkaswap;16225;306063.50920041
1102;Mooniswap;2651;16373.86439899
1103;Nexus Mutual;22353;4066.93991696
1106;Aave;248829;115298636.21472089
1112;KickEX;18369;50116171.3283816
1113;Cybex DEX;113;8127.44123363
1115;TokenSets;85293;1622.31025478
1116;SunSwap;129141;null
1117;Azbit;220028;189171724.1444127
1124;Bitazza;55304;11876755.27164816
1128;Changelly PRO;6014;1583950268.2888393
1129;EQONEX;23309;18806519.23128607
1131;Bitcoiva;41055;null
1132;Valuex;223;null
1133;Mexo Exchange;3497;89934485.67970721
1138;Bitexen;94598;59624452.8958536
1140;Serum DEX;7638;119579788.73036677
1141;SushiSwap;624801;83103814.21412905
1145;Koinbazar;95999;46110756.34171872
1149;Crypto.com Exchange;3107503;1715464616.1541214
1152;SINEGY Marketplace;2369;5934.97279777
1159;Paraswap;216581;12540.63166574
1161;Bit.com;10711;2514255.48169958
1162;BitClover (Hotbit Korea);4767;52739397.07867404
1165;PancakeSwap;5256828;2463777.67495672
1175;SashimiSwap;174;0
1177;FTX US;1609375;140028945.14860535
1179;ACDX;1063;0
1180;Aryana;635;24680507.02556084
1182;Deepcoin;271105;2360083086.5364375
1184;MOV;297;0
1186;BitWell;142592;286539592.98809195
1187;DODO (Ethereum);39654;25159370.84162673
1190;Honeyswap;24385;235104001.71087053
1206;LuaSwap;10248;6106.49573016
1208;Bvnex;724;7237320.41082619
1212;BEPSwap;356;null
1213;Mento;2451;482456.24098022
1226;bit4you;8596;226140.44850018
1234;Venus;67744;8932.2503972
1235;DeFiChain DEX;3342;null
1236;KULAP;1247;0
1240;Demex;7367;0
1243;LINKSWAP;378;null
1254;Blockchain.com;1211672;39774837.60449903
1255;Block DX;1796;10238.48012657
1259;Terraswap;57963;14648096.06039887
1261;OpenOcean;45814;9989920.59172164
1262;1inch Liquidity Protocol;11629;141809.35800695
1267;Wanswap;8339;303592.97504526
1275;IDEX BSC;55678;null
1279;MDEX;21615;23417301.61542369
1281;ApeSwap (BSC);4444;10908131.10107633
1287;Sifchain;37619;26761.87730903
1289;WOO Network;69465;390302551.89574313
1293;QuickSwap;473576;51290375.97048293
1295;LCX Exchange;18227;1135734.20375062
1301;Perpetual Protocol;8088;null
1302;BakerySwap;44333;728472.89038393
1304;Dfyn Network;46783;750753.10784169
1310;Capital DEX;150;11680.10077603
1313;BloctoSwap;4088;168469.09332121
1314;Kwikswap;2891;172.34910222
1315;Put on your metamask!!!;null;76670
1319;DODO (BSC);null;420055.70684308
1320;SwipeSwap;474;null
1325;PlasmaSwap (ETH);3786;1230.69574513
1327;THORChain (ERC20);23244;1816683.76452794
1329;MDEX(BSC);null;18314535.94243267
1333;KyberSwap;99343;517802.32731578
1334;Unicly;5439;0
1336;Quidax;null;36531.94002037
1339;Ubeswap;14369;761780.7145439
1340;Pangolin;162165;16575337.22203667
1342;Raydium;798528;44019362.75925675
1344;PancakeSwap (V2);null;639695274.528044
1346;PolyZap;63;null
1347;ComethSwap;null;80671.47053537
1348;Uniswap (V3);1519408;1277882114.7090461
1356;ViperSwap;106299;12178272.97665125
1359;SpiritSwap;105360;12268574.20316434
1371;Globe Derivative Exchange;5532;null
1374;WaultSwap (BSC);9949;116042.95925989
1375;Binance TR;820588;134499336.90661034
1378;Bunicorn;5989;18442.45640779
1386;Lydia Finance;8018;73728.28734615
1390;Convergence;3674;140703.37887813
1395;BabySwap;8408;653430.39999674
1398;CoinSwap Space;5143;14867.18067864
1400;THORChain (BEP20);null;3891912.15215037
1401;THORChain (BTC);null;390363.76143186
1404;Balancer (V2);50439;17453849.17579105
1405;ProBit;241765;3606059.63969507
1407;Sovryn;18900;null
1408;ShibaSwap;349659;14259837.80518095
1410;Nowswap;40;null
1412;Unifi Protocol DAO;7046;null
1413;SushiSwap (BSC);335642;168834.82870233
1414;Kine Protocol;1372;null
1415;Mars Ecosystem;32585;null
1416;SushiSwap (Fantom);null;1272492.5512028
1417;SushiSwap (Polygon);null;9911459.94227894
1418;SushiSwap (xDAI);null;215351.66211551
1420;KuSwap;7172;126829.3949596
1426;Orca;181413;10662816.17255334
1428;Balanced;5990;1386128.674208
1431;KSwap Finance;902;null
1432;PandaSwap;1499;null
1433;CherrySwap;21486;368195.96334928
1437;FEG Exchange;59691;840047.30403675
1440;WaultSwap (Polygon);79;20005.56384489
1443;Kalata Protocol;7591;9287.06432883
1444;PolyDEX;2389;5287.76906557
1445;Biswap;252010;72787130.6237821
1447;Osmosis;418771;45069679.03627157
1452;ApolloX;43966;null
1453;YetiSwap;5734;13179.25512553
1454;Kava Swap;29655;825087.01097471
1455;SpookySwap;558929;206339579.0175323
1456;TraderJoe;1290254;157246806.66509876
1457;Jetswap (BSC);1579;39440.75425413
1462;Clipper;8237;1087090.70478952
1463;Jetswap (Polygon);4619;2338.67991686
1464;SushiSwap (Arbitrum);null;50437253.28085434
1465;FreeRiver;1123;419.97611913
1466;ApeSwap.Finance (Polygon);143326;2008973.70603855
1467;MoonSwap(Moonriver);372;null
1469;DODO (Polygon);102340;75381323.1038884
1475;PartySwap;3937;2000.33031193
1477;SushiSwap (Harmony);null;78852.15450285
1478;Uniswap (V3) (Arbitrum);null;19787661.94268043
1479;KyberSwap (Polygon);8499;5883810.28156279
1480;KyberSwap (BSC);null;null
1481;KyberSwap (Avalanche);null;1409096.08855024
1483;AutoShark Finance;810;480196.86799438
1484;DODO (Arbitrum);115422;1221872.16971537
1485;MCDEX;2948;null
1486;KAIDEX;11977;36966.67219252
1488;Aldrin;57582;4377320.48319666
1489;Planet Finance;6131;206428.02894142
1490;PlasmaSwap (BSC);null;742.99279027
1491;PlasmaSwap (Polygon);null;83.25104793
1492;Smartlink (Vortex);11863;0.00074628
1493;ZilSwap;28838;984139.05378549
1494;SiennaSwap;1402;1074100.59263975
1496;Dinosaur Eggs;478;58340.48441454
1499;Deri Protocol;8105;null
1503;Huckleberry;11564;32518.5966187
1507;BitCoke;1966;null
1510;Ref Finance;23318;1058086.36839291
1511;PaintSwap;6686;796329.09568976
1513;Elk.Finance (AVAX);42124;733211.971598
1515;Wagyuswap;96485;null
1516;SPHYNX SWAP;12594;4216.81571697
1521;MojitoSwap;16914;2540431.95088136
1522;DFX Finance(Ethereum);3575;0
1526;Elk.Finance (Polygon);null;151944.55760251
1527;Elk.Finance (BSC);null;397478.3658382
1529;CRODEX;14895;123791.31326967
1530;VVS Finance;482864;17952091.77001247
1533;Photonswap.finance;7944;4224.46486111
1534;ApolloX DEX;17072;null
1536;Maiar Exchange;1517043;193484925.49627653
1540;SushiSwap (Celo);null;426710.41990043
1541;Beethoven X;63380;4234747.95949338
1543;Katana;630396;2203072.81743115
1544;OolongSwap;19872;1097615.30380384
1547;CronaSwap;435;3386655.10562976
1551;Injective Pro;null;357744.27364104
1553;Algebra;4293;294100.11820593
1559;Kine Protocol (BSC);null;null
1560;Kine Protocol (Polygon);null;null
1561;Bit2Me;1076;25617202.01944443
1563;BTCEX;1213632;551410492.4272377
1565;Balancer (V2) (Polygon);null;31373.7186783
1566;Balancer (V2) (Arbitrum);null;null
1567;Uniswap (V3) (Polygon);null;62544830.28014805
1569;Tinyman;441475;1496179.78637777
1575;Thorus;null;287725.65505858
